,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Last Seen
290,267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,False,2020-06-13 09:00:00
291,268,Cascoon,Bug,,205,50,35,55,25,25,15,3,False,2020-07-02 20:00:00
292,269,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,False,2020-06-20 07:00:00
293,270,Lotad,Water,Grass,220,40,30,30,40,50,30,3,False,2020-06-02 09:00:00
294,271,Lombre,Water,Grass,340,60,50,50,60,70,50,3,False,2020-07-10 13:00:00
295,272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,False,2020-06-21 23:00:00
296,273,Seedot,Grass,,220,40,40,50,30,30,30,3,False,2020-07-18 20:00:00
297,274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,False,2020-07-12 07:00:00
298,275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,False,2020-06-28 14:00:00
299,276,Taillow,Normal,Flying,270,40,55,30,30,30,85,3,False,2020-07-16 03:00:00
300,277,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,False,2020-06-30 13:00:00
301,278,Wingull,Water,Flying,270,40,30,30,55,30,85,3,False,2020-07-25 00:00:00
302,279,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,False,2020-07-10 13:00:00
303,280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,False,2020-07-01 16:00:00
304,281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,False,2020-07-03 19:00:00
305,282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,False,2020-07-19 12:00:00
306,282,GardevoirMega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3,False,2020-07-28 14:00:00
307,283,Surskit,Bug,Water,269,40,30,32,50,52,65,3,False,2020-07-07 00:00:00
308,284,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,False,2020-07-11 07:00:00
309,285,Shroomish,Grass,,295,60,40,60,40,60,35,3,False,2020-06-23 07:00:00
310,286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False,2020-06-24 11:00:00
311,287,Slakoth,Normal,,280,60,60,60,35,35,30,3,False,2020-06-30 16:00:00
312,288,Vigoroth,Normal,,440,80,80,80,55,55,90,3,False,2020-06-05 16:00:00
313,289,Slaking,Normal,,670,150,160,100,95,65,100,3,False,2020-06-22 15:00:00
314,290,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,False,2020-06-12 19:00:00
315,291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False,2020-07-12 20:00:00
316,292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,False,2020-06-04 00:00:00
317,293,Whismur,Normal,,240,64,51,23,51,23,28,3,False,2020-07-14 06:00:00
318,294,Loudred,Normal,,360,84,71,43,71,43,48,3,False,2020-06-22 08:00:00
319,295,Exploud,Normal,,490,104,91,63,91,73,68,3,False,2020-06-08 21:00:00
320,296,Makuhita,Fighting,,237,72,60,30,20,30,25,3,False,2020-05-22 22:00:00
321,297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,False,2020-06-13 11:00:00
322,298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,False,2020-07-01 04:00:00
323,299,Nosepass,Rock,,375,30,45,135,45,90,30,3,False,2020-06-24 00:00:00
324,300,Skitty,Normal,,260,50,45,45,35,35,50,3,False,2020-07-23 12:00:00
325,301,Delcatty,Normal,,380,70,65,65,55,55,70,3,False,2020-06-16 04:00:00
326,302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,False,2020-06-20 22:00:00
327,302,SableyeMega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3,False,2020-07-10 01:00:00
328,303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,False,2020-07-14 04:00:00
329,303,MawileMega Mawile,Steel,Fairy,480,50,105,125,55,95,50,3,False,2020-07-18 18:00:00
330,304,Aron,Steel,Rock,330,50,70,100,40,40,30,3,False,2020-07-11 15:00:00
331,305,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,False,2020-06-21 23:00:00
332,306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,False,2020-07-24 12:00:00
333,306,AggronMega Aggron,Steel,,630,70,140,230,60,80,50,3,False,2020-06-14 19:00:00
334,307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,False,2020-06-18 00:00:00
335,308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,False,2020-06-26 20:00:00
336,308,MedichamMega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,False,2020-07-13 16:00:00
337,309,Electrike,Electric,,295,40,45,40,65,40,65,3,False,2020-06-23 12:00:00
338,310,Manectric,Electric,,475,70,75,60,105,60,105,3,False,2020-07-12 23:00:00
339,310,ManectricMega Manectric,Electric,,575,70,75,80,135,80,135,3,False,2020-07-01 06:00:00
340,311,Plusle,Electric,,405,60,50,40,85,75,95,3,False,2020-06-19 23:00:00
341,312,Minun,Electric,,405,60,40,50,75,85,95,3,False,2020-07-03 19:00:00
342,313,Volbeat,Bug,,400,65,73,55,47,75,85,3,False,2020-07-06 17:00:00
343,314,Illumise,Bug,,400,65,47,55,73,75,85,3,False,2020-07-17 14:00:00
344,315,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,False,2020-06-09 05:00:00
345,316,Gulpin,Poison,,302,70,43,53,43,53,40,3,False,2020-07-24 19:00:00
346,317,Swalot,Poison,,467,100,73,83,73,83,55,3,False,2020-07-01 11:00:00
347,318,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,False,2020-06-24 10:00:00
348,319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,False,2020-06-21 19:00:00
349,319,SharpedoMega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,False,2020-07-19 06:00:00
350,320,Wailmer,Water,,400,130,70,35,70,35,60,3,False,2020-07-01 12:00:00
351,321,Wailord,Water,,500,170,90,45,90,45,60,3,False,2020-07-18 16:00:00
352,322,Numel,Fire,Ground,305,60,60,40,65,45,35,3,False,2020-07-05 06:00:00
353,323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,False,2020-07-06 16:00:00
354,323,CameruptMega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,False,2020-07-01 21:00:00
355,324,Torkoal,Fire,,470,70,85,140,85,70,20,3,False,2020-07-03 04:00:00
356,325,Spoink,Psychic,,330,60,25,35,70,80,60,3,False,2020-07-11 11:00:00
357,326,Grumpig,Psychic,,470,80,45,65,90,110,80,3,False,2020-06-15 23:00:00
358,327,Spinda,Normal,,360,60,60,60,60,60,60,3,False,2020-06-20 01:00:00
359,328,Trapinch,Ground,,290,45,100,45,45,45,10,3,False,2020-06-11 13:00:00
360,329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,False,2020-06-06 08:00:00
361,330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False,2020-06-01 04:00:00
362,331,Cacnea,Grass,,335,50,85,40,85,40,35,3,False,2020-06-25 13:00:00
363,332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,False,2020-06-02 12:00:00
364,333,Swablu,Normal,Flying,310,45,40,60,40,75,50,3,False,2020-07-22 23:00:00
365,334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,False,2020-06-15 00:00:00
366,334,AltariaMega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,False,2020-06-23 05:00:00
367,335,Zangoose,Normal,,458,73,115,60,60,60,90,3,False,2020-06-27 00:00:00
368,336,Seviper,Poison,,458,73,100,60,100,60,65,3,False,2020-07-03 03:00:00
369,337,Lunatone,Rock,Psychic,440,70,55,65,95,85,70,3,False,2020-06-30 21:00:00
370,338,Solrock,Rock,Psychic,440,70,95,85,55,65,70,3,False,2020-06-29 09:00:00
371,339,Barboach,Water,Ground,288,50,48,43,46,41,60,3,False,2020-07-10 21:00:00
372,340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,False,2020-07-19 02:00:00
373,341,Corphish,Water,,308,43,80,65,50,35,35,3,False,2020-07-10 18:00:00
374,342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,False,2020-07-23 20:00:00
375,343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,False,2020-06-19 17:00:00
376,344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False,2020-07-27 04:00:00
377,345,Lileep,Rock,Grass,355,66,41,77,61,87,23,3,False,2020-06-30 16:00:00
378,346,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,False,2020-06-19 19:00:00
379,347,Anorith,Rock,Bug,355,45,95,50,40,50,75,3,False,2020-07-03 13:00:00
380,348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,False,2020-06-30 00:00:00
381,349,Feebas,Water,,200,20,15,20,10,55,80,3,False,2020-06-27 16:00:00
382,350,Milotic,Water,,540,95,60,79,100,125,81,3,False,2020-06-17 12:00:00
383,351,Castform,Normal,,420,70,70,70,70,70,70,3,False,2020-06-28 18:00:00
384,352,Kecleon,Normal,,440,60,90,70,60,120,40,3,False,2020-07-09 20:00:00
385,353,Shuppet,Ghost,,295,44,75,35,63,33,45,3,False,2020-06-28 14:00:00
386,354,Banette,Ghost,,455,64,115,65,83,63,65,3,False,2020-07-07 03:00:00
387,354,BanetteMega Banette,Ghost,,555,64,165,75,93,83,75,3,False,2020-07-16 13:00:00
388,355,Duskull,Ghost,,295,20,40,90,30,90,25,3,False,2020-07-07 03:00:00
389,356,Dusclops,Ghost,,455,40,70,130,60,130,25,3,False,2020-05-23 04:00:00
390,357,Tropius,Grass,Flying,460,99,68,83,72,87,51,3,False,2020-06-26 09:00:00
391,358,Chimecho,Psychic,,425,65,50,70,95,80,65,3,False,2020-07-11 18:00:00
392,359,Absol,Dark,,465,65,130,60,75,60,75,3,False,2020-06-20 20:00:00
393,359,AbsolMega Absol,Dark,,565,65,150,60,115,60,115,3,False,2020-06-29 12:00:00
394,360,Wynaut,Psychic,,260,95,23,48,23,48,23,3,False,2020-07-12 15:00:00
395,361,Snorunt,Ice,,300,50,50,50,50,50,50,3,False,2020-06-13 11:00:00
396,362,Glalie,Ice,,480,80,80,80,80,80,80,3,False,2020-07-16 08:00:00
397,362,GlalieMega Glalie,Ice,,580,80,120,80,120,80,100,3,False,2020-07-01 19:00:00
398,363,Spheal,Ice,Water,290,70,40,50,55,50,25,3,False,2020-07-15 22:00:00
399,364,Sealeo,Ice,Water,410,90,60,70,75,70,45,3,False,2020-06-23 02:00:00
400,365,Walrein,Ice,Water,530,110,80,90,95,90,65,3,False,2020-07-12 16:00:00
401,366,Clamperl,Water,,345,35,64,85,74,55,32,3,False,2020-06-21 16:00:00
402,367,Huntail,Water,,485,55,104,105,94,75,52,3,False,2020-07-02 10:00:00
403,368,Gorebyss,Water,,485,55,84,105,114,75,52,3,False,2020-06-25 20:00:00
404,369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,False,2020-07-03 04:00:00
405,370,Luvdisc,Water,,330,43,30,55,40,65,97,3,False,2020-06-28 07:00:00
406,371,Bagon,Dragon,,300,45,75,60,40,30,50,3,False,2020-06-21 00:00:00
407,372,Shelgon,Dragon,,420,65,95,100,60,50,50,3,False,2020-07-10 08:00:00
408,373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False,2020-07-09 18:00:00
409,373,SalamenceMega Salamence,Dragon,Flying,700,95,145,130,120,90,120,3,False,2020-06-29 06:00:00
410,374,Beldum,Steel,Psychic,300,40,55,80,35,60,30,3,False,2020-07-07 18:00:00
411,375,Metang,Steel,Psychic,420,60,75,100,55,80,50,3,False,2020-07-06 00:00:00
412,376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,False,2020-07-20 03:00:00
413,376,MetagrossMega Metagross,Steel,Psychic,700,80,145,150,105,110,110,3,False,2020-07-04 05:00:00
414,377,Regirock,Rock,,580,80,100,200,50,100,50,3,True,2020-07-19 08:00:00
415,378,Regice,Ice,,580,80,50,100,100,200,50,3,True,2020-07-15 08:00:00
416,379,Registeel,Steel,,580,80,75,150,75,150,50,3,True,2020-06-17 18:00:00
417,380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,True,2020-07-10 11:00:00
418,380,LatiasMega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,True,2020-07-27 01:00:00
419,381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,3,True,2020-07-10 16:00:00
420,381,LatiosMega Latios,Dragon,Psychic,700,80,130,100,160,120,110,3,True,2020-06-23 12:00:00
421,382,Kyogre,Water,,670,100,100,90,150,140,90,3,True,2020-06-26 02:00:00
422,382,KyogrePrimal Kyogre,Water,,770,100,150,90,180,160,90,3,True,2020-06-22 19:00:00
423,383,Groudon,Ground,,670,100,150,140,100,90,90,3,True,2020-07-15 09:00:00
424,383,GroudonPrimal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,True,2020-06-14 23:00:00
425,384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,True,2020-07-03 00:00:00
426,384,RayquazaMega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,True,2020-07-10 13:00:00
427,385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,True,2020-06-05 07:00:00
428,386,DeoxysNormal Forme,Psychic,,600,50,150,50,150,50,150,3,True,2020-06-22 03:00:00
429,386,DeoxysAttack Forme,Psychic,,600,50,180,20,180,20,150,3,True,2020-06-30 07:00:00
430,386,DeoxysDefense Forme,Psychic,,600,50,70,160,70,160,90,3,True,2020-07-10 16:00:00
431,386,DeoxysSpeed Forme,Psychic,,600,50,95,90,95,90,180,3,True,2020-06-05 08:00:00
432,387,Turtwig,Grass,,318,55,68,64,45,55,31,4,False,2020-08-14 01:00:00
433,388,Grotle,Grass,,405,75,89,85,55,65,36,4,False,2020-09-07 15:00:00
434,389,Torterra,Grass,Ground,525,95,109,105,75,85,56,4,False,2020-08-21 22:00:00
435,390,Chimchar,Fire,,309,44,58,44,58,44,61,4,False,2020-08-23 18:00:00
436,391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,False,2020-09-09 12:00:00
437,392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,False,2020-08-31 21:00:00
438,393,Piplup,Water,,314,53,51,53,61,56,40,4,False,2020-08-17 18:00:00
439,394,Prinplup,Water,,405,64,66,68,81,76,50,4,False,2020-09-06 18:00:00
440,395,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,False,2020-09-16 09:00:00
441,396,Starly,Normal,Flying,245,40,55,30,30,30,60,4,False,2020-08-13 06:00:00
442,397,Staravia,Normal,Flying,340,55,75,50,40,40,80,4,False,2020-09-01 15:00:00
443,398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,False,2020-09-17 20:00:00
444,399,Bidoof,Normal,,250,59,45,40,35,40,31,4,False,2020-09-23 16:00:00
445,400,Bibarel,Normal,Water,410,79,85,60,55,60,71,4,False,2020-09-21 11:00:00
446,401,Kricketot,Bug,,194,37,25,41,25,41,25,4,False,2020-08-27 18:00:00
447,402,Kricketune,Bug,,384,77,85,51,55,51,65,4,False,2020-08-18 22:00:00
448,403,Shinx,Electric,,263,45,65,34,40,34,45,4,False,2020-09-14 21:00:00
449,404,Luxio,Electric,,363,60,85,49,60,49,60,4,False,2020-09-07 06:00:00
450,405,Luxray,Electric,,523,80,120,79,95,79,70,4,False,2020-08-20 05:00:00
451,406,Budew,Grass,Poison,280,40,30,35,50,70,55,4,False,2020-09-21 12:00:00
452,407,Roserade,Grass,Poison,515,60,70,65,125,105,90,4,False,2020-08-31 12:00:00
453,408,Cranidos,Rock,,350,67,125,40,30,30,58,4,False,2020-07-31 06:00:00
454,409,Rampardos,Rock,,495,97,165,60,65,50,58,4,False,2020-09-18 10:00:00
455,410,Shieldon,Rock,Steel,350,30,42,118,42,88,30,4,False,2020-08-10 10:00:00
456,411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,4,False,2020-08-29 00:00:00
457,412,Burmy,Bug,,224,40,29,45,29,45,36,4,False,2020-09-08 22:00:00
458,413,WormadamPlant Cloak,Bug,Grass,424,60,59,85,79,105,36,4,False,2020-08-16 01:00:00
459,413,WormadamSandy Cloak,Bug,Ground,424,60,79,105,59,85,36,4,False,2020-08-08 21:00:00
460,413,WormadamTrash Cloak,Bug,Steel,424,60,69,95,69,95,36,4,False,2020-09-01 12:00:00
461,414,Mothim,Bug,Flying,424,70,94,50,94,50,66,4,False,2020-09-14 05:00:00
462,415,Combee,Bug,Flying,244,30,30,42,30,42,70,4,False,2020-09-04 19:00:00
463,416,Vespiquen,Bug,Flying,474,70,80,102,80,102,40,4,False,2020-08-30 09:00:00
464,417,Pachirisu,Electric,,405,60,45,70,45,90,95,4,False,2020-09-15 20:00:00
465,418,Buizel,Water,,330,55,65,35,60,30,85,4,False,2020-08-04 07:00:00
466,419,Floatzel,Water,,495,85,105,55,85,50,115,4,False,2020-09-02 01:00:00
467,420,Cherubi,Grass,,275,45,35,45,62,53,35,4,False,2020-08-29 13:00:00
468,421,Cherrim,Grass,,450,70,60,70,87,78,85,4,False,2020-08-16 00:00:00
469,422,Shellos,Water,,325,76,48,48,57,62,34,4,False,2020-08-30 18:00:00
470,423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,False,2020-08-21 09:00:00
471,424,Ambipom,Normal,,482,75,100,66,60,66,115,4,False,2020-09-16 04:00:00
472,425,Drifloon,Ghost,Flying,348,90,50,34,60,44,70,4,False,2020-09-21 15:00:00
473,426,Drifblim,Ghost,Flying,498,150,80,44,90,54,80,4,False,2020-09-07 09:00:00
474,427,Buneary,Normal,,350,55,66,44,44,56,85,4,False,2020-08-19 07:00:00
475,428,Lopunny,Normal,,480,65,76,84,54,96,105,4,False,2020-09-28 15:00:00
476,428,LopunnyMega Lopunny,Normal,Fighting,580,65,136,94,54,96,135,4,False,2020-08-28 15:00:00
477,429,Mismagius,Ghost,,495,60,60,60,105,105,105,4,False,2020-08-13 05:00:00
478,430,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,4,False,2020-09-13 10:00:00
479,431,Glameow,Normal,,310,49,55,42,42,37,85,4,False,2020-08-27 18:00:00
480,432,Purugly,Normal,,452,71,82,64,64,59,112,4,False,2020-09-12 22:00:00
481,433,Chingling,Psychic,,285,45,30,50,65,50,45,4,False,2020-09-16 03:00:00
482,434,Stunky,Poison,Dark,329,63,63,47,41,41,74,4,False,2020-09-11 21:00:00
483,435,Skuntank,Poison,Dark,479,103,93,67,71,61,84,4,False,2020-08-31 21:00:00
484,436,Bronzor,Steel,Psychic,300,57,24,86,24,86,23,4,False,2020-08-17 05:00:00
485,437,Bronzong,Steel,Psychic,500,67,89,116,79,116,33,4,False,2020-08-31 20:00:00
486,438,Bonsly,Rock,,290,50,80,95,10,45,10,4,False,2020-07-26 14:00:00
487,439,Mime Jr.,Psychic,Fairy,310,20,25,45,70,90,60,4,False,2020-09-07 09:00:00
488,440,Happiny,Normal,,220,100,5,5,15,65,30,4,False,2020-09-29 07:00:00
489,441,Chatot,Normal,Flying,411,76,65,45,92,42,91,4,False,2020-07-11 20:00:00
490,442,Spiritomb,Ghost,Dark,485,50,92,108,92,108,35,4,False,2020-08-13 12:00:00
491,443,Gible,Dragon,Ground,300,58,70,45,40,45,42,4,False,2020-09-01 23:00:00
492,444,Gabite,Dragon,Ground,410,68,90,65,50,55,82,4,False,2020-08-29 01:00:00
493,445,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,4,False,2020-08-16 03:00:00
494,445,GarchompMega Garchomp,Dragon,Ground,700,108,170,115,120,95,92,4,False,2020-08-19 15:00:00
495,446,Munchlax,Normal,,390,135,85,40,40,85,5,4,False,2020-09-11 00:00:00
496,447,Riolu,Fighting,,285,40,70,40,35,40,60,4,False,2020-09-17 04:00:00
497,448,Lucario,Fighting,Steel,525,70,110,70,115,70,90,4,False,2020-08-10 15:00:00
498,448,LucarioMega Lucario,Fighting,Steel,625,70,145,88,140,70,112,4,False,2020-09-11 18:00:00
499,449,Hippopotas,Ground,,330,68,72,78,38,42,32,4,False,2020-08-26 08:00:00
500,450,Hippowdon,Ground,,525,108,112,118,68,72,47,4,False,2020-10-01 10:00:00
501,451,Skorupi,Poison,Bug,330,40,50,90,30,55,65,4,False,2020-08-30 22:00:00
502,452,Drapion,Poison,Dark,500,70,90,110,60,75,95,4,False,2020-09-06 04:00:00
503,453,Croagunk,Poison,Fighting,300,48,61,40,61,40,50,4,False,2020-09-10 18:00:00
504,454,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,4,False,2020-08-20 22:00:00
505,455,Carnivine,Grass,,454,74,100,72,90,72,46,4,False,2020-09-11 19:00:00
506,456,Finneon,Water,,330,49,49,56,49,61,66,4,False,2020-09-15 09:00:00
507,457,Lumineon,Water,,460,69,69,76,69,86,91,4,False,2020-09-13 11:00:00
508,458,Mantyke,Water,Flying,345,45,20,50,60,120,50,4,False,2020-10-02 17:00:00
509,459,Snover,Grass,Ice,334,60,62,50,62,60,40,4,False,2020-10-06 18:00:00
510,460,Abomasnow,Grass,Ice,494,90,92,75,92,85,60,4,False,2020-10-04 05:00:00
511,460,AbomasnowMega Abomasnow,Grass,Ice,594,90,132,105,132,105,30,4,False,2020-07-18 03:00:00
512,461,Weavile,Dark,Ice,510,70,120,65,45,85,125,4,False,2020-09-05 19:00:00
513,462,Magnezone,Electric,Steel,535,70,70,115,130,90,60,4,False,2020-08-26 05:00:00
514,463,Lickilicky,Normal,,515,110,85,95,80,95,50,4,False,2020-08-27 17:00:00
515,464,Rhyperior,Ground,Rock,535,115,140,130,55,55,40,4,False,2020-08-30 13:00:00
516,465,Tangrowth,Grass,,535,100,100,125,110,50,50,4,False,2020-09-10 17:00:00
517,466,Electivire,Electric,,540,75,123,67,95,85,95,4,False,2020-08-29 19:00:00
518,467,Magmortar,Fire,,540,75,95,67,125,95,83,4,False,2020-08-10 12:00:00
519,468,Togekiss,Fairy,Flying,545,85,50,95,120,115,80,4,False,2020-08-19 21:00:00
520,469,Yanmega,Bug,Flying,515,86,76,86,116,56,95,4,False,2020-09-01 08:00:00
521,470,Leafeon,Grass,,525,65,110,130,60,65,95,4,False,2020-08-29 12:00:00
522,471,Glaceon,Ice,,525,65,60,110,130,95,65,4,False,2020-09-04 22:00:00
523,472,Gliscor,Ground,Flying,510,75,95,125,45,75,95,4,False,2020-09-07 13:00:00
524,473,Mamoswine,Ice,Ground,530,110,130,80,70,60,80,4,False,2020-08-30 00:00:00
525,474,Porygon-Z,Normal,,535,85,80,70,135,75,90,4,False,2020-08-27 03:00:00
526,475,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,4,False,2020-09-04 23:00:00
527,475,GalladeMega Gallade,Psychic,Fighting,618,68,165,95,65,115,110,4,False,2020-08-26 12:00:00
528,476,Probopass,Rock,Steel,525,60,55,145,75,150,40,4,False,2020-09-14 15:00:00
529,477,Dusknoir,Ghost,,525,45,100,135,65,135,45,4,False,2020-08-30 00:00:00
530,478,Froslass,Ice,Ghost,480,70,80,70,80,70,110,4,False,2020-08-28 12:00:00
531,479,Rotom,Electric,Ghost,440,50,50,77,95,77,91,4,False,2020-09-27 22:00:00
532,479,RotomHeat Rotom,Electric,Fire,520,50,65,107,105,107,86,4,False,2020-09-04 08:00:00
533,479,RotomWash Rotom,Electric,Water,520,50,65,107,105,107,86,4,False,2020-08-22 03:00:00
534,479,RotomFrost Rotom,Electric,Ice,520,50,65,107,105,107,86,4,False,2020-09-10 00:00:00
535,479,RotomFan Rotom,Electric,Flying,520,50,65,107,105,107,86,4,False,2020-09-06 05:00:00
536,479,RotomMow Rotom,Electric,Grass,520,50,65,107,105,107,86,4,False,2020-08-22 05:00:00
537,480,Uxie,Psychic,,580,75,75,130,75,130,95,4,True,2020-08-08 13:00:00
538,481,Mesprit,Psychic,,580,80,105,105,105,105,80,4,True,2020-09-27 21:00:00
539,482,Azelf,Psychic,,580,75,125,70,125,70,115,4,True,2020-08-18 18:00:00
540,483,Dialga,Steel,Dragon,680,100,120,120,150,100,90,4,True,2020-09-10 03:00:00
541,484,Palkia,Water,Dragon,680,90,120,100,150,120,100,4,True,2020-09-14 07:00:00
542,485,Heatran,Fire,Steel,600,91,90,106,130,106,77,4,True,2020-09-02 02:00:00
543,486,Regigigas,Normal,,670,110,160,110,80,110,100,4,True,2020-08-21 13:00:00
544,487,GiratinaAltered Forme,Ghost,Dragon,680,150,100,120,100,120,90,4,True,2020-08-02 23:00:00
545,487,GiratinaOrigin Forme,Ghost,Dragon,680,150,120,100,120,100,90,4,True,2020-09-04 01:00:00
546,488,Cresselia,Psychic,,600,120,70,120,75,130,85,4,False,2020-09-07 10:00:00
547,489,Phione,Water,,480,80,80,80,80,80,80,4,False,2020-09-09 05:00:00
548,490,Manaphy,Water,,600,100,100,100,100,100,100,4,False,2020-09-22 02:00:00
549,491,Darkrai,Dark,,600,70,90,90,135,90,125,4,True,2020-09-06 22:00:00
550,492,ShayminLand Forme,Grass,,600,100,100,100,100,100,100,4,True,2020-09-16 00:00:00
551,492,ShayminSky Forme,Grass,Flying,600,100,103,75,120,75,127,4,True,2020-08-21 20:00:00
552,493,Arceus,Normal,,720,120,120,120,120,120,120,4,True,2020-09-13 20:00:00
553,494,Victini,Psychic,Fire,600,100,100,100,100,100,100,5,True,2020-11-28 18:00:00
554,495,Snivy,Grass,,308,45,45,55,45,55,63,5,False,2020-11-12 20:00:00
555,496,Servine,Grass,,413,60,60,75,60,75,83,5,False,2020-11-06 19:00:00
556,497,Serperior,Grass,,528,75,75,95,75,95,113,5,False,2020-10-08 06:00:00
557,498,Tepig,Fire,,308,65,63,45,45,45,45,5,False,2020-11-30 20:00:00
558,499,Pignite,Fire,Fighting,418,90,93,55,70,55,55,5,False,2020-11-04 08:00:00
559,500,Emboar,Fire,Fighting,528,110,123,65,100,65,65,5,False,2020-11-08 18:00:00
560,501,Oshawott,Water,,308,55,55,45,63,45,45,5,False,2020-10-08 20:00:00
561,502,Dewott,Water,,413,75,75,60,83,60,60,5,False,2020-11-04 01:00:00
562,503,Samurott,Water,,528,95,100,85,108,70,70,5,False,2020-11-05 17:00:00
563,504,Patrat,Normal,,255,45,55,39,35,39,42,5,False,2020-11-23 11:00:00
564,505,Watchog,Normal,,420,60,85,69,60,69,77,5,False,2020-10-20 00:00:00
565,506,Lillipup,Normal,,275,45,60,45,25,45,55,5,False,2020-11-04 11:00:00
566,507,Herdier,Normal,,370,65,80,65,35,65,60,5,False,2020-10-13 16:00:00
567,508,Stoutland,Normal,,500,85,110,90,45,90,80,5,False,2020-11-10 05:00:00
568,509,Purrloin,Dark,,281,41,50,37,50,37,66,5,False,2020-10-17 09:00:00
569,510,Liepard,Dark,,446,64,88,50,88,50,106,5,False,2020-11-05 19:00:00
570,511,Pansage,Grass,,316,50,53,48,53,48,64,5,False,2020-09-26 03:00:00
571,512,Simisage,Grass,,498,75,98,63,98,63,101,5,False,2020-10-14 15:00:00
572,513,Pansear,Fire,,316,50,53,48,53,48,64,5,False,2020-10-30 06:00:00
573,514,Simisear,Fire,,498,75,98,63,98,63,101,5,False,2020-10-11 00:00:00
574,515,Panpour,Water,,316,50,53,48,53,48,64,5,False,2020-11-15 06:00:00
575,516,Simipour,Water,,498,75,98,63,98,63,101,5,False,2020-11-24 10:00:00
576,517,Munna,Psychic,,292,76,25,45,67,55,24,5,False,2020-11-13 10:00:00
577,518,Musharna,Psychic,,487,116,55,85,107,95,29,5,False,2020-11-09 21:00:00
578,519,Pidove,Normal,Flying,264,50,55,50,36,30,43,5,False,2020-11-01 13:00:00
